time,reward_energy,reward_comfort,TSupSetHea,CorTRooSetCoo,CorTRooSetHea,NorTRooSetCoo,NorTRooSetHea,SouTRooSetCoo,SouTRooSetHea,EasTRooSetCoo,EasTRooSetHea,WesTRooSetCoo,WesTRooSetHea,res.PFan,res.PHea,res.PCooSen,res.PCooLat,TSupCor.T,TSupEas.T,TSupWes.T,TSupNor.T,TSupSou.T,weaBus.TDryBul,weaBus.relHum,weaBus.HGloHor,TSup.T,TRooAir.y5[1],TRooAir.y3[1],TRooAir.y1[1],TRooAir.y2[1],TRooAir.y4[1]
7200.0,0.0040924360921235125,0,284.576775165203,303.15,285.15,302.3521979970512,285.15,303.15,284.6947005356047,303.15,285.15,303.15,285.15,-2.0800965876055565e-15,0.0,-0.0040924360921214325,-0.0,293.1500111309424,293.15001744147025,293.150021600807,293.15001881907665,293.1500193271114,260.95,0.73,0.0,293.15,293.15,293.15,293.15,293.15,293.15
10800.0,-0.0015966900789849833,0,285.22478682424327,303.15,285.15,303.27705508479767,285.15,303.15,285.30261403811477,303.15,285.15,303.15,285.15,-5.002352503126353e-16,0.0,0.0015966900789854835,-0.0,293.1500850371991,293.1501276133176,293.15014874589133,293.15013595514904,293.150146228372,261.45,0.73,0.0,293.1500206374334,292.71494853637336,292.3210090644941,292.19693809061084,292.36234642688345,292.1042543084869
14400.0,0.006379349122777668,0,285.99797824043884,303.15,285.15,304.17266036141035,285.15,303.15,285.1078886853742,303.15,285.15,303.15,285.15,-7.596020774339315e-16,0.0,-0.006379349122776908,-0.0,293.14992101363725,293.14989108791474,293.14987827113305,293.14988498373765,293.1498640905446,262.04999999999995,0.73,0.0,293.1501553489482,292.6396694928186,292.20067893250916,292.0587950398065,292.2513037030058,292.05589895076963
18000.0,0.0013521697195066084,0,287.139894031687,303.15,285.15,305.0,285.15,303.15,285.42301276342124,303.15,285.15,303.15,285.15,-9.131252962453926e-16,0.0,-0.0013521697195056953,-0.0,293.1497571509347,293.1496570700057,293.1496109648286,293.1496367166049,293.1495956186184,262.04999999999995,0.73,0.0,293.14985850739026,292.5245294723978,292.0414579040069,291.81723082947315,292.09972896651266,291.8862953684454
21600.0,-28823.42304463419,0,287.2913354702706,303.15,285.15,305.0,285.15,303.15,284.6124643222663,303.15,285.15,303.15,285.15,740.7701082833945,27957.38737754979,125.26555880100521,-0.0,286.71349229670966,286.71349229670966,286.71349229670966,286.71349229670966,286.71349229670966,262.54999999999995,0.73,0.0,293.1495653499118,292.43773200729845,291.9123236665706,291.726620995689,291.9779167272713,291.7445650480003
25200.0,-25285.50674445812,5,285.7900667392385,303.15,285.15,304.1508148079249,285.15,303.15,285.5154857998096,303.15,285.15,303.15,285.15,740.7445126050966,24553.788372056497,-9.026140203472329,-0.0,285.8415128704382,285.8415128704382,285.8415128704382,285.8415128704382,285.8415128704382,262.54999999999995,0.73,0.0,286.7141702748671,291.513895197351,290.9726178712592,290.94371161283175,290.90761338666186,290.96307449726436
28800.0,-59635.320893859316,1,283.98490806942146,297.15,293.15,304.76262942509425,293.15,297.15,285.4256517863857,297.15,293.15,297.15,293.15,740.8580165063211,58896.48491159083,-2.022034237828776,-0.0,296.9326107450315,301.2541599104985,305.07085378892606,306.13634480263397,283.98370468054424,262.54999999999995,0.77,0.9078947368421053,285.8414644869868,291.26236753367806,290.6846259172131,290.6606876050112,290.60535788905986,290.68180363504274
32400.0,-44386.99321385121,2,282.94491729002635,297.15,293.15,303.86986037121517,293.15,297.15,285.2260372628937,297.15,293.15,297.15,293.15,740.9321071866043,43646.46811563966,-0.40700897506011385,-0.0,291.41777474468125,294.24673605904417,299.5453570116812,299.8959572742622,282.94880354672523,263.15,0.77,53.31263371844244,283.9836930487162,293.1567224225621,293.22931363271186,291.5863079057407,293.2284663487928,293.23111031397474
36000.0,-40601.9418410599,1,283.2752361678646,297.15,293.15,303.3272079853309,293.15,297.15,286.13773896024,297.15,293.15,297.15,293.15,741.0367869903348,39861.835748847334,-0.9306947777650618,-0.0,290.11112711105415,292.4049224408816,297.8736435549113,297.95267280102456,283.2729268472936,264.25,0.71,179.69447154471547,282.94880128271177,293.19642153165273,293.2359638318062,292.0303528357465,293.1984827910036,293.21839700745505
39600.0,-38337.89603579119,2,282.03160754544797,297.15,293.15,303.27686878455455,293.15,297.15,286.44679122040475,297.15,293.15,297.15,293.15,741.2465560250971,37597.05472122065,-0.40524145455708516,-0.0,289.46634471988915,292.08981262237404,296.74886623571535,296.76136422753837,282.03324479251324,266.45,0.6,297.03446808510637,283.27292208564614,293.1564762379467,293.16206931440445,292.3339653276392,293.15807101762175,293.1612765093315
43200.0,-36151.637132227326,2,280.1694772366299,297.15,293.15,303.74731541841294,293.15,297.15,286.8439923901053,297.15,293.15,297.15,293.15,741.5936520369058,35410.62506134348,-0.581581153063084,-0.0,288.93879420595056,292.2530860489882,295.59402584353586,295.5349605504246,280.17174568375583,268.15,0.63,369.4255319148936,282.0332425893589,293.154781030805,293.1619778718459,292.55757918277897,293.14864360785475,293.1613093658666
46800.0,-36729.67324024194,2,280.0,297.15,293.15,303.69681111692216,293.15,297.15,286.77015522061953,297.15,293.15,297.15,293.15,741.9276484764397,35987.32525314846,0.4203386170344898,-0.0,289.3867285178774,292.4809206494074,295.06005875972943,295.25380879625584,280.00041742422786,269.84999999999997,0.63,298.1751497005988,280.171742520493,293.1533481429546,293.15915281661773,292.8129125706233,293.1504873862146,293.15859049536186
50400.0,-33564.47453541535,2,280.9166390864141,297.15,293.15,302.8714990596861,293.15,297.15,287.34508485741014,297.15,293.15,297.15,293.15,742.2924268573003,32823.30490918951,-1.1228006314546086,-0.0,288.07975235481774,291.6358394554432,293.2194189515868,293.4585634477232,280.9083044081241,270.95,0.63,206.07762807717899,280.00041960474204,293.15027518841924,293.1566724567199,292.7362193934034,293.15106844788363,293.15888816221616
54000.0,-33061.90946268097,1,280.0,297.15,293.15,302.01664511424553,293.15,297.15,287.71299361709276,297.15,293.15,297.15,293.15,742.3062711443455,32319.741207907427,-0.13801637081028406,-0.0,288.016685492506,291.74336689560306,292.6160881793476,293.27692993381856,280.00027541247226,272.04999999999995,0.61,149.41169590643275,280.9082986501896,293.1508116507963,293.1534428672352,292.82907724844506,293.15004072827804,293.15616675883626
57600.0,-33261.34413876458,1,281.38451426777027,297.15,293.15,301.09499125785135,293.15,297.15,287.6356177214645,297.15,293.15,297.15,293.15,742.2951644214675,32518.571360498114,0.47761384499611403,-0.0,287.8308307313347,291.8314571442798,292.68720822274923,293.19584456319365,281.3829111198327,272.04999999999995,0.64,83.12356979405034,280.0002746361534,293.15042377266474,293.150620539952,292.7093428501122,293.14899573048706,293.15136160766565
61200.0,-32997.49249744768,0,280.9132313796278,297.15,293.15,300.3174190123224,293.15,297.15,287.23285717335517,297.15,293.15,297.15,293.15,742.2919385290684,32255.37980165995,-0.17924274133663992,-0.0,287.80285070256696,291.7948825120481,292.75338958055335,293.0222739541531,280.9137483101117,272.04999999999995,0.6900000000000001,19.704144021739133,281.38291371961395,293.1502852004767,293.1506538549987,292.6994061972166,293.149640500619,293.14855912800783
64800.0,-38736.96211545408,3,280.0,297.15,293.15,300.3346199503024,293.15,297.15,286.3980754144953,297.15,293.15,297.15,293.15,742.1083207860743,37994.47819368457,0.37560098344109316,-0.0,290.3311143155771,293.4023554755573,294.77454242139737,295.25655306215737,280.0007026773415,272.04999999999995,0.6900000000000001,1.1328124999999996,280.913747326892,293.1505055131304,293.1527131536989,292.58344215183865,293.15111081341024,293.1515226432058
